reference	predicted
عَايِز أَعرَف مَواعِيِد رَحَلَات المُغَادره	عَايِزْ اَعْرَف مَوَاعِيْدْ رَحَلَاتْ الْمَغَادِره
عَايِز أَسَافِر مِن الرِيًاض إِلى	عَايِزْ اِسَافِر مِنْ الرِيَاضْ اَلَى
عَايِز أَسَافِر مِن	عَايْزْ اَسَافِرْ مِنْ
عَايِز أَسَافِر إِلى	عَايْزْ اِسَافِرْ اِلَى
إِمتَه هَتِوصَل الرِحلَه	اَمْتَهْ هَتْوَصِلْ الرَّحَله
كَام عَدَد الرَحَلاَت إِلِّي جَايَّه	كَام عَدَدْ الرَحْلَات اِلْي جَايهْ
كَام عَدَد الرَّحَلاَت المُغَادره	كَام عَدَدْ الرَّحْلَاتْ الْمَغَادِره
عَايِز أَعرَف مَوَاعِيِد رَحَلاَت المُغَادرَه	عَايِز اَعْرَفْ مَوَاعِيدْ رَحَلَاتْ الْمَغَادِرَه
عَايِز أَعرَف مَعَاد رِحله جَدَه	عَايْز اَعْرَفْ مَعَادْ رَحْلَه جِدْهُ
إِمتَه هَتُوصَل الرِحله رَقَم واحِد اتنِين تَلَاتَه	اَمْتَهْ هَتَوَصَلْ الْرَّحْله رَقَمْ وَاحِد اِتْنِين تَلَاتَه
مَعَاد وِصُول الرِحله رَقَم	مَعَادْ وَصولْ الرَّحَله رَقَمْ
مِعَاد وِصُول الرِحله رَقَم تَلَاتَه اِتنِين وَاحِد	مَعَادْ وَصولْ الرَّحْله رَقْمْ تَلَاتِه اِتْنِين وَاحِد
أَرجُو التَّعدِيل	اَرْجُو الْتَعْدِيلْ
عَدِّل الحَجزَ لَو سَمَحت	عَدْلْ الْحَجْزْ لو سَمَحْتْ
غَيِّر مَوعِدَ الحَجّز إلى	غِيْر مَوَعْدْ الْحَجْزْ اِلْى
هُو إِيه رَقَم الحَجّز	هُو اَيَه رَقَمْ الْحَجْزْ
لَو سَمَحت عِيِد عَلَيَّ المَعلُومَات إللِّي أُلتَهَا	لو سَمْحْتَ عِيْدْ عَلِي الْمَعْلُومَات اللِّي التَهَا
عَايِز أَتكَلِم مَع المَسئُول	عَايِزْ اِتْكَلْم مَعْ الْمَسِيول
عَايز أَتكَلِم مَع وَاحِد تَانِي	عَايِزْ اِتْكَلْم مَعْ وَاحِد تَانِي
عَايز أَسَافِر إِلَى	عَايْزْ اِسَافِرْ اِلَى
عَايِز أَلغِي الحَجز	عَايِزْ اَلغِي الْحَجّزْ
الحَجز مُش مُنَاسِب	الْحَجِّزْ مُشْ مَنَاسِبْ
عَايِز أَدفَع تَمَن التَذكَرَه	عَايِزْ اِدْفَعْ تَمْنْ الْتَّذْكْرْه
كَم مَجمُوع تَمَن التَذَاكِر	كُمْ مَجْمُوعْ تِمَنْ الْتَذَاكِرْ
مَجمُوع التَمَن	مَجْمُوعْ الْتَمْنْ
كَم السِّعر الكُلِّي	كُمْ السَّعْرْ الكُلِي
عَايِز أَدفَع فِلُوس التَذكَرَة دِلِوَئتِي	عَايِزْ ادْفَعْ فِلُوسْ التَّذْكرَة دَلوِيتِي
هَدفَع بِالبِطَائَه الِإئتِمَانِيه	هَدْفَعْ بِالْبَطَايه الْاَيْتْمَانِيه
هُوَّ إِيه رَقَم التَذكَره الإلِكتُرونِيَه	هُو اَيْه رَقَمْ الْتَّذْكرْه الْاِلْكْتْرُونِيهْ
إِيه هِوَّا رَقَم التَذكَرَه الإلِكتُرونِيَه	اَيْهْ هُوَا رَقَمْ الْتَذْكرْه الْاِلْكْتْرُونِيه
اِطبَع كَرتَ الصُّعُودِ لِلطَّائِرَة	اَطْبَعْ كُرْتِ الصَّعودْ لِلْطَايِرَة
عَيزَك تِطَلَع كَرتَ الصُّعُود	عَيْزَكْ تَطْلَع كُرْتْ الصّعودْ
غَيِّرِ المقَاعِدَ لَو سَمَحت	غَيْرْ الْمَقَاعِدْ لَو سَمَحْتْ
عَايِز أَغَيَر المَقَاعِد	عَايِزْ اَغِيرْ الْمَقَاعِدْ
تِئدَر تِأَكِّدِ الحَجز دَه	تِيْدَرْ تَاكِدْ الْحَجْزْ دَهْ
جَمب الشِّبَاك	جَمْبْ الْشِّبَاكْ
عَلَى المَمَر	عَلَى الْمَمَرْ
جَمب مَخرَج الطَوَارِئ	جَمْبْ مَخْرَجْ الطَّوَارِي
حَجز	حَجْزْ
تَذكَرَة	تَذْكَرَة
كَرتُ صُعُود	كرت صَعودْ
رَقم	رَقَمْ
شِّبَاك	شَبَاكْ
الرِّحلَة	الرحْلَة
كَم رَقَم بَوَّابَةِ الدُّخُول	كُمْ رَقْمْ بْوَابَة الدَّخُولْ
عَايِز أَعرَف رَقَم البَوَابَه	عَايِزْ اَعْرَفْ رَقَمْ الْبَوَابِه
رَقم الحَجز لَو سَمَحت	رَقَمْ الْحَجْزْ لَو سَمَحَتْ
عَايِز رَقَم الحَجز	عَايِزْ رَقَمْ الْحَجْزْ
عَايِز أَعرَف رَقَم الحَجز	عَايِزْ اَعْرَف رَقَمْ الْحَجْزْ
عَايِز أَعرَف رَقَم الرِّحلَه	عَايِزْ اَعْرَف رَقَمْ الْرَحْله
عَايِز أَعرَف رَقَم الصَالَه	عَايِزْ اَعْرَفْ رَقَمْ الصَالِه
عَايِز أَأَكِّد الحَجِز	عَايْزْ اَاْكَد الْحَجْزْ
عَايِز أَعرَف وَئت الرِّحلَه	عَايِزْ اَعْرَف وَيْتْ الرَحْله
عَايِز أَعرَف وَئت وصُول الرِّحلَه	عَايِزْ اَعْرَفْ وِيْتْ وَصولْ الرَّحَله
الصُوت مُش وَاضِح	الصوْتْ مِشْ وَاضِح
مُش سَمعَك	مَش سِمْعَكْ
مُش آدِر أَسمَع صُوتَك	مِشْ اَدْرْ اَسْمَعْ صُوتَكْ
صُوتَك وَاطِي	صُوْتِكْ وَاطِي
حَجز جِدِيد لَو سَمَحت	حَجْزْ جْدِيد لو سَمَحْتْ
عَايِز أَعرَف وَئت مُغَادَّرَه الرِحلَه	عَايِزْ اَعْرَف وَيْتْ مَغَادِرْهْ الرَحْله
هِيِا الرِحلَه إِتأَخَرت	هِيَا الرَحْله اَتَاخَرَتْ
هِيَّ الطَيَاره هَتِطلَع فِى مَعَدهَا	هِي الطَّيَارَه هَتْطَلَع فَى مَعْدْهَا
الرِحلَه فِي مَعَدهَا	الرَحْله فِي مَعْدْهَا
الرِحلَه اِتأَخَرِت سَعتِّين	الرَحْله اَتَاخَرْتْ سَعْتِينْ
الصَّالَةُ المَحَلِيَّة	الصَالَة الْمَحْلِيَّة
الصَّالَةُ الدَّاخِلِيَّة	الصَالَة الْدَّاخْلِيَّة
الصَّالَةُ الدَّولِيَّة	الْصَالَة الدُّولِيَة
الصَّالَات الدَّولِيَّة	الصَالَات الدُّولِيَة
صَالَةُ المُغَادَرَة	صَالَة الْمَغَادِرَة
صَالَةُ القُدُوم	صَالَة الْقُدُومْ
صَالَات الخِطُوط الأَجنَبِيَّة	صَالَاتْ الْخَطوط الْاَجْنِبِيَة
الخِطُوط الأَجنَبِيَّة	الْخَطوطْ الْاَجْنِبِيَّة
الأَمتعَه دِي بِتَعتِى	الْاِمْتَعْه دِي بِتَعَتَى
دِي حَاجتِي	دِي حَاجْتِي
سَبَع قِطَع	سَبْعْ قَطَعْ
خَمَس قِطَع	خَمْسْ قَطَّعْ
عَرَبِية أَطفَال	عَرَبِيَة اَطْفَالْ
اَيوَه القِطعَة دِى بِتَعتِى	اَيوْهْ الْقُطْعَة دَى بِتَعَتَى
اَيوه أَنَا بَدَور عَلى القِطعَة دِي	اَيوهْ اَنَا بِدُوْرْ عَلَى الْقُطْعَة دِي
مَكَانُ سَيَّارَاتِ الأُجرَةِ لَو سَمَحت	مَكَان سَيَارَاتْ الْاَجْرَة لو سَمَحْتْ
سّيَّارَاتُ الأُجرَة	سَيَّارَات الْاَجْرَة
سّيَّارَةُ الأُجرَة	سَيَّارَة الْاَجْرَة
فِينِ الطَرِيءِ لِفُندُء الَمَطَار	فِينْ الطَّرِيء لِفَنْدِءْ المَطَار
أَأرَب فُندُء	اارَبْ فِنْدْءْ
صَالَة	صَالَة
صَالَات	صَالَاتْ
رِحلَة	رَحَلَة
حَجَات	حَجَاتْ
كَرتَ الصُّعُود	كَرْت الصَّعودْ
بَدَور عَلى مُجَمَع أَسوَاء	بِدُوْر عَلَى مَجْمَعْ اَسْوَاء
أَنَا بَدَور عَلى	اَنَا بِدوْر عَلَى
عَايِز مُسَعدَه	عَايْزْ مْسْعَدَه
أَنَا عَايِز مُسَّعدِتَك	اَنَا عَايِزْ مِسْعَدْتَكْ
عَايِز تَكسِي	عَايْزْ تَكْسِي
تِئدَر تِسعِفِني	تِيْدَرْ تَسْعِفْنِي
عَايِز سَيَارَة أُجرَه	عَايِزْ سِيَّارَة اَجْرَهْ
عَايِز مَوقِع سَيَارَات أُجرَه	عَايِزْ مَوْقَعْ سَيَارَات اِجْرَه
إِيه أَأرَب مُستَشفَى	اَيْهْ اارَبْ مَسْتَشَفَى
أَنَا بَدَور عَلى شَارِع	اَنَا بِدوْر عَلَى شَارِع
بَدَوَر عَلى أَأرَب مَركَز صِحِي	بِدُوْر عَلَى اارْب مَرْكِز صَحِي
عَايِز عِلِاج	عَايِز عَلَاج
عَايِز الشُرطَة	عَايِزْ الشَّرْطَة
أَنَا عَايِز الشُرطَة	اَنَا عَايِزْ الشَّرْطَة
عَايِز لِّيمُوزِين	عَايِزْ لِيْمُوزِين
أَنَا عَايِز مُسَعدَه	اَنَا عَايِزْ مَسْعَدْهُ
عَايِز تَكسِي	عَايْزْ تَكْسِي
كَم المَسَافَه مِن الرِياض لِمَكَه	كَمْ الْمَسَافِه مِنْ الرِيَاضْ لِمْكَه
تَاكسِي كِبِير لَو سَمِحت	تَاكْسِي كَبِير لو سَمَحْتْ
عَايز مُوَاصلَات	عَايْزْ مُوَاصْلَاتْ
عَايز أَعرَف حَرَكِة السِّير	عَايِزْ اَعْرَف حَرَكَة الْسِيْر
هُو فِيه زَحمَة	هُو فِيهْ زَحْمَة
السِّاعِة كَام	الْسَاعَة كَامْ
كَم سِعرَ صَرف	كمْ سَعْرْ صَرْفْ
العِنوَان إِيه	الْعَنوَانْ اَيْه
العِنوَان إِيه	الْعُنوان اَيهْ
مُمكِن تِدِّينِي العِنوَان	مُمْكِنْ تِدِينِي الْعُنْوَانْ
إِيه أَأرَب طَرِيء لِ	اَيْه اارَب طَرِيءْ ل
مُمكِن أَتَّصِل	مُمْكِنْ اَتْصَلْ
إِزَّاي أَتَّصِل	اَزَاي اَتْصَلْ
إِيه هُوَا مُفتَاح الدَوله	اَيْه هُوَا مَفْتَاحْ الدُّولْهْ
إِيه هِوَّا مُفتَاح المَدِينَه	اَيْهْ هُوَا مِفْتَاحْ الْمَدِينْه
الجَوّ عَامِل إِيه فِي مَكة	الجَوّ عَامِل اِيْه فِي مَكَة
الجَوّ عَامِل إِيه فِي الرِّيَاض	الجَوْ عَامِل اَيْه فِي الرِيَاضْ
الجَوّ عِامِل إِيه فِي	الجَو عَامِل اِيْه في
المَسَافَة كَام لِحَد	الْمَسَافَة كَام لَحَدْ
دَرَجَة الحَرَارَة كَام	دَرَجَة الْحَرارَة كَام
أَأرَبُ صَيدَلِيَّة لَو سَمَحت	ااْرِبْ صَيْدَلِية لُو سَمَحْتْ
الشَمس بِتِطلَع إِمتَه	الشمْسْ بِتْطَلَع امْتَهُ
الشَمس بِتُغرُب إِمتَه	الشَّمْسْ بِتْغْرَب اِمْتَه
الرِّيَال	الرِيَالْ
الدُّولَار	الدُّولَارْ
الجِنِيه	الْجَنِيه
اللَّيرَة	الْلِيرَة
الدِّرهَم	الدَّرْهُمْ
رِيَال	رِيَالْ
دُولَار	دولَار
جِنَيه	جَنِيه
لِيرَه	لِيْرَهْ
دِرهَم	دَرهَمْ
تَاكسِي	تَاكْسِي
شَارِع	شَارِع
طَرِيء	طَرِيء
مَسَافَة	مَسَافَة
عَايِز مَطعَم	عَايْزْ مَطْعَمْ
فِين مُجَمَع المَطَاعِم	فِينْ مَجْمَعْ الْمَطَاعِم
إيه هُو أَأرَب مَطعَم	اَيْه هُو اَاْرِب مَطْعَمْ
عَايِز اَستَعلم عَن بُضَاعَه	عَايِزْ اسْتَعْلِم عَنْ بِضَاعَه
القِطعَه دِي بكَام	الْقَطْعَه دِي بِكَام
دِي بكَام	دِي بِكَام
كَم تَمَن دِي	كمْ تَمْنْ دِي
بكَام دِي	بْكَام دِي
كَم تَمَن دَا	كمْ تَمْنْ دَا
بِكَام القِطعَه دِي	بِكَام الْقَطْعَه دِي
عَايِز أَعرَف تَكَالِيف	عَايِزْ اَعْرَفْ تْكَالِيف
عَايِز أَشُوف الفَتُورَه	عَايِزْ اَشوف الْفَتُوره
عَايِز أَتأَكِد مِن صِحَة البَيَنَات	عَايْزْ اَتَاكِدْ مِنْ صَحَة الْبَيْنَات
عَايِز أَشتَرِي سِلعَه	عَايِزْ اِشْتِرِي سِلْعَه
عَايِز أَعرَف إِنتِهَاء صَلَاحِية السِّلعَه	عَايِزْ اَعْرَفْ اِنْتِهَاءْ صَلَاحِيَة السّلْعَه
عَايِز أَعرَف تَّمَن السِّلعَه دِي	عَايِزْ اَعْرَفْ تَمْنْ السّلْعُهْ دِي
عَايِز أَعرَف مُوَاصَفَات السِلعَه دِي	عَايِزْ اَعْرَفْ مَوَاصَفَاتْ السِّلْعَهْ دِي
الصِوت مُش وَاضِح	الصوْتْ مِشْ وَاضِح
مُش سَمعَك	مَشْ سَمْعَكْ
مُش عَارِف أَسمَع صُوتَك	مشْ عَارِفْ اَسْمَعْ صُوتَكْ
صُوتَك وَاطي	صُوتِكْ وَاطِي
إِيه هِيَّا أَوءَات العَمَل	اَيْه هِيَا اُوءَاتْ الْعَمَلْ
الشُّغل بِيِبدَأ إِمتَه	الشَّغْلْ بِيبْدَا اِمْتَهُ
الشُغل بِيِخلَص إِمتَه	الْشَّغْلْ بِيْخْلِصْ اِمْتَه
المَحَل بِيِفتَح إِمتَه	الْمَحَل بِيْفْتْحْ اِمْتَهُ
المَحَل بِيِئفِل إِمتَه	الْمَحَلْ بِيِيْفِلْ اِمْتَهُ
دَه مُش صَح	دَه مِشْ صَحْ
عَايِز سَيَّارَات الأُجرَة	عَايِزْ سَيَارَاتْ الْاَجْرَة
فِين المَحَل اِللِي بِيِبِيع الأُمَاش	فِينْ الْمَحَل اللي بِيْبِيع الْاَمَاش
فِين مَحَلَّات البِيع بِالجُمَلة	فِينْ مَحَلَاتْ الْبِيعْ بِالْجُمْلَة
عَايِز أَعرِف عِنوَان	عَايِز اَعْرَفْ عَنْوان
